"Utility.Name","State"
"Cumberland Elec Member Corp","Tennessee"
"Cuming County Public Pwr Dist","Nebraska"
"City of Cushing","Oklahoma"
"Custer Public Power District","Nebraska"
"Cuivre River Electric Coop Inc","Missouri"
"City of Cuyahoga Falls","Ohio"
"DS&O Electric Cooperative, Inc.","Kansas"
"Dakota Valley Elec Coop Inc","North Dakota"
"Dakota Energy Coop Inc","South Dakota"
"Consumers Power, Inc","Oregon"
"Dalton Utilities","Georgia"
"City of Danville","Virginia"
"Darke Rural Electric Coop, Inc","Ohio"
"City of David City","Nebraska"
"Daviess Martin County R E M C","Indiana"
"Dawson Power District","Nebraska"
"City of Dayton","Tennessee"
"Deaf Smith Electric Coop, Inc","Texas"
"Decatur Utilities","Alabama"
"Decatur County Rural E M C","Indiana"
"Deep East Texas Elec Coop Inc","Texas"
"Delano Municipal Utilities","Minnesota"
"City of Denison","Iowa"
"City of Denton","Texas"
"Delaware Electric Cooperative","Delaware"
"Denton County Elec Coop, Inc","Texas"
"Delta Montrose Electric Assn","Colorado"
"City of Detroit Lakes","Minnesota"
"City of Dickson","Tennessee"
"Dixie Electric Power Assn","Mississippi"
"Dixie Electric Membership Corp","Louisiana"
"Dixie Electric Coop","Alabama"
"City of Dothan","Alabama"
"City of Douglas","Georgia"
"PUD No 1 of Douglas County","Washington"
"Douglas Electric Coop","Oregon"
"Douglas Electric Coop, Inc","South Dakota"
"City of Dover","Delaware"
"City of Dover","Ohio"
"Dubois Rural Electric Coop Inc","Indiana"
"Duck River Elec Member Corp","Tennessee"
"Dunn County Electric Coop","Wisconsin"
"City of Duncan","Oklahoma"
"Town of Danvers","Massachusetts"
"City of Dyersburg","Tennessee"
"Egyptian Electric Coop Assn","Illinois"
"City of Eagle River","Wisconsin"
"East Central Energy","Minnesota"
"East Central Energy","Wisconsin"
"City of East Grand Forks","Minnesota"
"East Mississippi Elec Pwr Assn","Mississippi"
"City of East Point","Georgia"
"Eastern Illinois Elec Coop","Illinois"
"East-Central Iowa Rural Elec Coop","Iowa"
"East Central Oklahoma Elec Coop Inc","Oklahoma"
"Eastern Iowa Light & Power Coop","Iowa"
"Eastern Maine Electric Coop","Maine"
"Easton Utilities Comm","Maryland"
"Eau Claire Electric Coop","Wisconsin"
"Edisto Electric Coop, Inc","South Carolina"
"Edgecombe-Martin County E M C","North Carolina"
"City of Edmond","Oklahoma"
"City of Elberton","Georgia"
"Eldridge City Utilities","Iowa"
"City of Elizabeth City","North Carolina"
"City of Elizabethton","Tennessee"
"City of Elk River","Minnesota"
"City of Elkhorn","Wisconsin"
"Elkhorn Rural Public Pwr Dist","Nebraska"
"Elmhurst Mutual Power & Light Co","Washington"
"City of Ely","Minnesota"
"Empire Electric Assn, Inc","Colorado"
"Empire Electric Assn, Inc","Utah"
"Excelsior Electric Member Corp","Georgia"
"Fairfield Electric Coop, Inc","South Carolina"
"Village of Fairport","New York"
"Borough of Ephrata","Pennsylvania"
"Town of Erwin","Tennessee"
"Escambia River Elec Coop, Inc","Florida"
"Town of Estes Park","Colorado"
"City of Estherville","Iowa"
"City of Etowah","Tennessee"
"City of Eudora","Kansas"
"City of Eugene","Oregon"
"City of Evansville","Wisconsin"
"Farmers Electric Coop, Inc","Iowa"
"City of Fairbury","Nebraska"
"City of Fairfax","Minnesota"
"City of Fairhope","Alabama"
"City of Ellensburg","Washington"
"Fairmont Public Utilities Comm","Minnesota"
"Farmers Electric Coop","Iowa"
"Fall River Rural Elec Coop Inc","Idaho"
"Fall River Rural Elec Coop Inc","Montana"
"Fall River Rural Elec Coop Inc","Wyoming"
"Fannin County Electric Coop","Texas"
"City of Falls City","Nebraska"
"Farmers Electric Coop, Inc","Missouri"
"Farmers Electric Coop, Inc","Texas"
"Fayette Electric Coop, Inc","Texas"
"Farmers Rural Electric Coop Corp","Kentucky"
"Farmers Electric Coop, Inc","New Mexico"
"City of Farmington","New Mexico"
"City of Farmington","Missouri"
"City of Fayetteville","Tennessee"
"Public Works Comm-City of Fayetteville","North Carolina"
"Federated Rural Electric Assn","Iowa"
"Federated Rural Electric Assn","Minnesota"
"FEM Electric Assn, Inc","South Dakota"
"PUD No 1 of Ferry County","Washington"
"Firelands Electric Coop, Inc","Ohio"
"First Electric Coop Corp","Arkansas"
"Fitzgerald Wtr Lgt & Bond Comm","Georgia"
"City of Flandreau","South Dakota"
"Flathead Electric Coop Inc","Montana"
"Flint Electric Membership Corp","Georgia"
"City of Flora","Illinois"
"City of Florence","Alabama"
"Florence Utility Comm","Wisconsin"
"City of Floresville","Texas"
"Flint Hills Rural E C A, Inc","Kansas"
"Fleming-Mason Energy Coop Inc","Kentucky"
"Florida Keys El Coop Assn, Inc","Florida"
"Foley Board of Utilities","Alabama"
"City of Forest City- (IA)","Iowa"
"Town of Forest City","North Carolina"
"City of Forest Grove","Oregon"
"City of Fort Collins","Colorado"
"Fort Loudoun Electric Coop","Tennessee"
"City of Fort Morgan","Colorado"
"Fort Belknap Electric Coop Inc","Texas"
"Fort Payne Improvement Authority","Alabama"
"City of Fort Pierre","South Dakota"
"Fort Pierce Utilities Authority","Florida"
"Fort Valley Utility Comm","Georgia"
"City of Fountain","Colorado"
"Four County Elec Member Corp","North Carolina"
"4-County Electric Power Assn","Mississippi"
"City of Frankfort","Indiana"
"City of Frankfort","Kentucky"
"Easley Combined Utility System","South Carolina"
"Town of Edenton","North Carolina"
"City of Franklin","Virginia"
"PUD No 1 of Franklin County","Washington"
"Franklin Electric Coop","Alabama"
"City of Franklin","Kentucky"
"Franklin Rural Electric Coop","Iowa"
"Town of Frederick","Colorado"
"City of Fredericksburg","Texas"
"Village of Freeport","New York"
"City of Fremont","Nebraska"
"Freeborn-Mower Coop Services","Iowa"
"Freeborn-Mower Coop Services","Minnesota"
"French Broad Elec Member Corp","North Carolina"
"French Broad Elec Member Corp","Tennessee"
"Town of Front Royal","Virginia"
"Frontier Power Company","Ohio"
"City of Fulton","Missouri"
"City of Fulton","Kentucky"
"City of Gaffney","South Carolina"
"City of Greendale","Indiana"
"Gainesville Regional Utilities","Florida"
"City of Galion","Ohio"
"City of Gallatin","Tennessee"
"City of Gallup","New Mexico"
"City of Garden City","Kansas"
"City of Gardner","Kansas"
"Garland Light & Power Company","Wyoming"
"Garkane Energy Coop, Inc","Arizona"
"Garkane Energy Coop, Inc","Utah"
"City of Garland","Texas"
"City of Garnett","Kansas"
"Gascosage Electric Coop","Missouri"
